SmeltGenRowID,FishTagID,Active,SPECIES (Assay ID),# Chroms,V-shape,COMMENTS,q (DS),q (LF),q (WK),Genotype Run
724,2017_WAG_060,TRUE,WAG,3,N,,0,0,1,
723,2017_WAG_059,TRUE,WAG,4,N,,0,0,1,
722,2017_WAG_058,TRUE,WAG,5+,N,,0,0,1,
721,2017_WAG_057,TRUE,WAG,3,N,,0,0,1,
720,2017_WAG_056,TRUE,WAG,5+,N,,0,0,1,
719,2017_WAG_055,TRUE,WAG,3,N,,0,0,1,
718,2017_WAG_054,TRUE,WAG,5,N,,0,0,1,
717,2017_WAG_053,TRUE,WAG,5+,N,,0,0,1,
716,2017_WAG_052,TRUE,WAG,4,N,,0,0,1,
715,2017_WAG_051,TRUE,WAG,3,N,,0,0,1,
714,2017_WAG_050,TRUE,WAG,5+,N,,0,0,1,
713,2017_WAG_049,TRUE,WAG,4,N,,0,0,1,
712,2017_WAG_048,TRUE,WAG,3,N,,0,0,1,
711,2017_WAG_047,TRUE,WAG,5+,N,,0,0,1,
710,2017_WAG_046,TRUE,WAG,4,N,,0,0,1,
709,2017_WAG_045,TRUE,WAG,4,N,,0,0,1,
708,2017_WAG_044,TRUE,WAG,4,N,,0,0,1,
707,2017_WAG_043,TRUE,WAG,5,N,,0,0,1,
706,2017_WAG_042,TRUE,WAG,5+,N,,0,0,1,
705,2017_WAG_041,TRUE,WAG,5+,N,,0,0,1,
704,2017_WAG_040,TRUE,WAG,5+,?,,0,0,1,
703,2017_WAG_039,TRUE,WAG,5+,N,,0,0,1,
702,2017_WAG_038,TRUE,WAG,5,N,,0,0,1,
701,2017_WAG_037,TRUE,WAG,5+,N,,0,0,1,
700,2017_WAG_036,TRUE,WAG,4,N,,0,0,1,
699,2017_WAG_035,TRUE,WAG,,N,,0,0,1,
698,2017_WAG_034,TRUE,WAG,5+,N,,0,0,1,
697,2017_WAG_033,TRUE,WAG,5+,N,,0,0,1,
696,2017_WAG_032,TRUE,WAG,5+,N,,0,0,1,
695,2017_WAG_031,TRUE,WAG,4,N,,0,0,1,
694,2017_WAG_030,TRUE,WAG,0,N,,0,0,1,
693,2017_WAG_029,TRUE,WAG,5+,N,,0,0,1,
692,2017_WAG_028,TRUE,WAG,3(4?),N,,0,0,1,
691,2017_WAG_027,TRUE,missing data,4,N,,,,,
690,2017_WAG_026,TRUE,WAG,4,N,,0,0,1,
689,2017_WAG_025,TRUE,WAG,5+,N,Damaged near adipose,0,0,1,
688,2017_WAG_024,TRUE,WAG,5+,N,,0,0,1,
687,2017_WAG_023,TRUE,WAG,2,N,,0,0,1,
686,2017_WAG_022,TRUE,WAG,5+,N,,0,0,1,
685,2017_WAG_021,TRUE,WAG,5+,N,,0,0,1,
684,2017_WAG_020,TRUE,WAG,2,N,,0,0,1,
683,2017_WAG_019,TRUE,WAG,5+,N,,0,0,1,
682,2017_WAG_018,TRUE,WAG,5,N,Found dead,0,0,1,
681,2017_WAG_017,TRUE,WAG,2,N,Found dead,0,0,1,
680,2017_WAG_016,TRUE,WAG,8,N,,0,0,1,
679,2017_WAG_015,TRUE,WAG,8,N,,0,0,1,
678,2017_WAG_014,TRUE,WAG,4,N,,0,0,1,
677,2017_WAG_013,TRUE,WAG,10,N,,0,0,1,
676,2017_WAG_012,TRUE,WAG,3,N,,0,0,1,
675,2017_WAG_011,TRUE,WAG,12,N,,0,0,1,
674,2017_WAG_010,TRUE,WAG,3,N,,0,0,1,
673,2017_WAG_009,TRUE,WAG,2,N,,0,0,1,
672,2017_WAG_008,TRUE,WAG,8,N,,0,0,1,
671,2017_WAG_007,TRUE,WAG,5,N,,0,0,1,
670,2017_WAG_006,TRUE,WAG,3,N,Found dead,0,0,1,
669,2017_WAG_005,TRUE,WAG,,,,0,0,1,
668,2017_WAG_004,TRUE,WAG,7,N,,0,0,1,
667,2017_WAG_003,TRUE,WAG,,,2 swab tests for DNA one5x one 10x,0,0,1,
666,2017_WAG_002,TRUE,WAG,,,,0,0,1,
665,2017_WAG_001,TRUE,WAG,,,,0,0,1,
754,2017_DSM_001,TRUE,DSM,1,Y,,0.983,0,0.017,
6,2016_WAG_033,TRUE,WAG,3,N,,0.017,0.006,0.977,160830_Smelt_192.24_B
378,2016_WAG_032,TRUE,WAG,2,?,,0.008,0.004,0.988,160830_Smelt_192.24_B
377,2016_WAG_031,TRUE,WAG,5+,N,,0.0055,0.003,0.9915,160830_Smelt_192.24_B
14,2016_WAG_030,TRUE,WAG,5+,N,no EtOH in tube,0.0065,0.004,0.9895,160830_Smelt_192.24_B
375,2016_WAG_029,TRUE,hybrid (LFS/WAG),3,N,,0.0138,0.1969,0.7893,160830_Smelt_192.24_B
374,2016_WAG_028,TRUE,hybrid (DSM/WAG),3,N,,0.3461,0.005,0.6489,160830_Smelt_192.24_B
372,2016_WAG_027,TRUE,WAG,4+,?,,0.0174,0.0059,0.9767,160830_Smelt_192.24_B
371,2016_WAG_026,TRUE,WAG,5,?,,0.0064,0.004,0.9896,160830_Smelt_192.24_B
370,2016_WAG_025,TRUE,WAG,5,N,,0.0107,0.005,0.9843,160712_hybrid_SNP_P1
17,2016_WAG_024,TRUE,WAG,5+,N,,0.0076,0.004,0.9884,160712_hybrid_SNP_P1
369,2016_WAG_023,TRUE,WAG,4,N,,0.0082,0.0041,0.9877,160830_Smelt_192.24_B
3,2016_WAG_022,TRUE,WAG,3,N,,0.0095,0.0042,0.9863,160830_Smelt_192.24_B
368,2016_WAG_021,TRUE,WAG,5+,N,,0.0103,0.005,0.9847,160712_hybrid_SNP_P1
367,2016_WAG_020,TRUE,WAG,10,N,,0.0106,0.005,0.9844,160712_hybrid_SNP_P1
366,2016_WAG_019,TRUE,WAG,4,N,,0.0045,0.003,0.9925,160712_hybrid_SNP_P1
365,2016_WAG_018,TRUE,WAG,16,N,,0.0235,0.007,0.9695,160830_Smelt_192.24_B
364,2016_WAG_017,TRUE,WAG,3,N,,0.0106,0.005,0.9844,160830_Smelt_192.24_B
363,2016_WAG_016,TRUE,WAG,11,N,,0.0041,0.003,0.9929,160712_hybrid_SNP_P1
362,2016_WAG_015,TRUE,WAG,8,N,,0.014,0.006,0.98,160712_hybrid_SNP_P1
361,2016_WAG_014,TRUE,WAG,5,N,,0.004,0.003,0.993,160830_Smelt_192.24_B
360,2016_WAG_013,TRUE,WAG,9,N,,0.004,0.003,0.993,160712_hybrid_SNP_P1
359,2016_WAG_012,TRUE,WAG,6,N,no EtOH in tube,0.0051,0.003,0.9919,160830_Smelt_192.24_B
358,2016_WAG_011,TRUE,WAG,3,N,no EtOH in tube,0.006,0.003,0.991,160830_Smelt_192.24_B
357,2016_WAG_010,TRUE,WAG,6,N,,0.005,0.003,0.992,160712_hybrid_SNP_P1
356,2016_WAG_009,TRUE,WAG,6,N,,0.0044,0.003,0.9926,160712_hybrid_SNP_P1
355,2016_WAG_008,TRUE,WAG,5,N,,0.006,0.0034,0.9906,160712_hybrid_SNP_P1
354,2016_WAG_007,TRUE,WAG,6,N,,0.0055,0.0031,0.9914,160712_hybrid_SNP_P1
351,2016_WAG_006,TRUE,WAG,5+,N,,0.004,0.003,0.993,160712_hybrid_SNP_P1
350,2016_WAG_005,TRUE,WAG,3,N,,0.006,0.003,0.991,160830_Smelt_192.24_B
349,2016_WAG_004,TRUE,WAG,4,N,,0.0105,0.005,0.9845,160712_hybrid_SNP_P1
346,2016_WAG_003,TRUE,WAG,4+,N,,0.0088,0.006,0.9852,160712_hybrid_SNP_P1
345,2016_WAG_002,TRUE,WAG,5+,N,,0.0513,0.0118,0.9369,160830_Smelt_192.24_B
343,2016_WAG_001,TRUE,WAG,5,N,,0.007,0.004,0.989,160712_hybrid_SNP_P1
382,2016_DSM_030,TRUE,DSM,0,Y,,0.991,0.003,0.006,160712_hybrid_SNP_P1
381,2016_DSM_029,TRUE,DSM,0,Y,,0.9775,0.0057,0.0168,160712_hybrid_SNP_P1
380,2016_DSM_028,TRUE,DSM,1,Y,,0.989,0.004,0.007,160830_Smelt_192.24_B
15,2016_DSM_027,TRUE,WAG,1,?,,0.0094,0.0041,0.9865,160830_Smelt_192.24_B
379,2016_DSM_026,TRUE,DSM,0,?,,0.9843,0.0048,0.0109,160830_Smelt_192.24_B
376,2016_DSM_025,TRUE,,0,Y,,,,,
4,2016_DSM_024,TRUE,WAG,0,?,,0.008,0.004,0.988,160830_Smelt_192.24_B
373,2016_DSM_023,TRUE,DSM,0,Y,,0.991,0.003,0.006,160712_hybrid_SNP_P1
353,2016_DSM_022,TRUE,WAG,1,Y,,0.005,0.003,0.992,160830_Smelt_192.24_B
352,2016_DSM_021,TRUE,WAG,2,?,,0.006,0.003,0.991,160830_Smelt_192.24_B
